Afk.;Kolom1;Kolom2;Kolom3;Kolom4;Kolom5;Afkorting;Stationsnaam;Link;;;Stationsnaam;Afkorting;;Afkorting;Lijst voor travelmapping;;;;;;;;Stationsnaam;Afkorting
Vry;51;526454;6;0142546;;Vry;Venray;Vry https://www.openstreetmap.org/?lat=51.526454&lon=6.0142546;;;;;;;;;;;;;;;Zwijndrecht;Zwd
Bnz;52;1280783;5;6030939;;Bnz;Barneveld Zuid;Bnz https://www.openstreetmap.org/?lat=52.1280783&lon=5.6030939;;;;;;;;;;;;;;;Barendrecht;Brd
Hdb;52;5723383;6;627603;;Hdb;Hardenberg;Hdb https://www.openstreetmap.org/?lat=52.5723383&lon=6.627603;;;;;;;;;;;;;;;Amsterdam Sloterdijk;Ass
Mrb;52;509025;6;5742267;;Mrb;Mariënberg;Mrb https://www.openstreetmap.org/?lat=52.509025&lon=6.5742267;;;;;;;;;;;;;;;Stavoren;Stv
Zwd;51;8152743;4;6411824;;Zwd;Zwijndrecht;Zwd https://www.openstreetmap.org/?lat=51.8152743&lon=4.6411824;;;;;;;;;;;;;;;Koudum-Molkwerum;Kmw
Brd;51;8552885;4;5526538;;Brd;Barendrecht;Brd https://www.openstreetmap.org/?lat=51.8552885&lon=4.5526538;;;;;;;;;;;;;;;Amsterdam Bijlmer ArenA;Asb
Ass;52;3890317;4;8381062;;Ass;Amsterdam Sloterdijk;Ass https://www.openstreetmap.org/?lat=52.3890317&lon=4.8381062;;;;;;;;;;;;;;;Eygelshoven Markt;Eghm
Stv;52;8866043;5;3598;;Stv;Stavoren;Stv https://www.openstreetmap.org/?lat=52.8866043&lon=5.3598;;;;;;;;;;;;;;;Heerlen Woonboulevard;Hrlw
Kmw;52;9024767;5;4107682;;Kmw;Koudum-Molkwerum;Kmw https://www.openstreetmap.org/?lat=52.9024767&lon=5.4107682;;;;;;;;;;;;;;;Amsterdam Amstel;Asa
Asb;52;3122449;4;9470883;;Asb;Amsterdam Bijlmer ArenA;Asb https://www.openstreetmap.org/?lat=52.3122449&lon=4.9470883;;;;;;;;;;;;;;;Tilburg;Tb
Eghm;50;896103;6;0577972;;Eghm;Eygelshoven Markt;Eghm https://www.openstreetmap.org/?lat=50.896103&lon=6.0577972;;;;;;;;;;;;;;;Vught;Vg
Hrlw;50;8961435;5;9527975;;Hrlw;Heerlen Woonboulevard;Hrlw https://www.openstreetmap.org/?lat=50.8961435&lon=5.9527975;;;;;;;;;;;;;;;Eindhoven Strijp-S;Ehs
Asa;52;3464656;4;9175567;;Asa;Amsterdam Amstel;Asa https://www.openstreetmap.org/?lat=52.3464656&lon=4.9175567;;;;;;;;;;;;;;;Boxtel;Btl
Tb;51;560531;5;0837293;;Tb;Tilburg;Tb https://www.openstreetmap.org/?lat=51.560531&lon=5.0837293;;;;;;;;;;;;;;;Zaltbommel;Zbm
Vg;51;6555908;5;2921212;;Vg;Vught;Vg https://www.openstreetmap.org/?lat=51.6555908&lon=5.2921212;;;;;;;;;;;;;;;Geldermalsen;Gdm
Ehs;51;4503696;5;4570165;;Ehs;Eindhoven Strijp-S;Ehs https://www.openstreetmap.org/?lat=51.4503696&lon=5.4570165;;;;;;;;;;;;;;;Culemborg;Cl
Btl;51;5844429;5;3190301;;Btl;Boxtel;Btl https://www.openstreetmap.org/?lat=51.5844429&lon=5.3190301;;;;;;;;;;;;;;;Duivendrecht;Dvd
Zbm;51;8078029;5;2633823;;Zbm;Zaltbommel;Zbm https://www.openstreetmap.org/?lat=51.8078029&lon=5.2633823;;;;;;;;;;;;;;;Amsterdam RAI;Rai
Gdm;51;8825577;5;2714789;;Gdm;Geldermalsen;Gdm https://www.openstreetmap.org/?lat=51.8825577&lon=5.2714789;;;;;;;;;;;;;;;Rotterdam Alexander;Rta
Cl;51;9470421;5;2267808;;Cl;Culemborg;Cl https://www.openstreetmap.org/?lat=51.9470421&lon=5.2267808;;;;;;;;;;;;;;;Rotterdam Blaak;Rtb
Dvd;52;3235282;4;9364854;;Dvd;Duivendrecht;Dvd https://www.openstreetmap.org/?lat=52.3235282&lon=4.9364854;;;;;;;;;;;;;;;Rotterdam Centraal;Rtd
Rai;52;3370349;4;8902289;;Rai;Amsterdam RAI;Rai https://www.openstreetmap.org/?lat=52.3370349&lon=4.8902289;;;;;;;;;;;;;;;Schiedam Centrum;Sdm
Rta;51;9517162;4;5524827;;Rta;Rotterdam Alexander;Rta https://www.openstreetmap.org/?lat=51.9517162&lon=4.5524827;;;;;;;;;;;;;;;Hoogeveen;Hgv
Rtb;51;919941;4;4892276;;Rtb;Rotterdam Blaak;Rtb https://www.openstreetmap.org/?lat=51.919941&lon=4.4892276;;;;;;;;;;;;;;;Amsterdam Lelylaan;Asdl
Rtd;51;9250574;4;4692289;;Rtd;Rotterdam Centraal;Rtd https://www.openstreetmap.org/?lat=51.9250574&lon=4.4692289;;;;;;;;;;;;;;;'s-Hertogenbosch;Ht
Sdm;51;9220349;4;4087428;;Sdm;Schiedam Centrum;Sdm https://www.openstreetmap.org/?lat=51.9220349&lon=4.4087428;;;;;;;;;;;;;;;Alkmaar;Amr
Hgv;52;7335031;6;4729673;;Hgv;Hoogeveen;Hgv https://www.openstreetmap.org/?lat=52.7335031&lon=6.4729673;;;;;;;;;;;;;;;Castricum;Cas
Asdl;52;3578369;4;8340268;;Asdl;Amsterdam Lelylaan;Asdl https://www.openstreetmap.org/?lat=52.3578369&lon=4.8340268;;;;;;;;;;;;;;;Heiloo;Hlo
Ht;51;6905164;5;2937086;;Ht;'s-Hertogenbosch;Ht https://www.openstreetmap.org/?lat=51.6905164&lon=5.2937086;;;;;;;;;;;;;;;Roermond;Rm
Amr;52;6381293;4;7406979;;Amr;Alkmaar;Amr https://www.openstreetmap.org/?lat=52.6381293&lon=4.7406979;;;;;;;;;;;;;;;Sittard;Std
Cas;52;5453379;4;6591148;;Cas;Castricum;Cas https://www.openstreetmap.org/?lat=52.5453379&lon=4.6591148;;;;;;;;;;;;;;;Zaandam;Zd
Hlo;52;6000225;4;7011338;;Hlo;Heiloo;Hlo https://www.openstreetmap.org/?lat=52.6000225&lon=4.7011338;;;;;;;;;;;;;;;Abcoude;Ac
Rm;51;1925659;5;9938511;;Rm;Roermond;Rm https://www.openstreetmap.org/?lat=51.1925659&lon=5.9938511;;;;;;;;;;;;;;;Breukelen;Bkl
Std;51;0020038;5;8588913;;Std;Sittard;Std https://www.openstreetmap.org/?lat=51.0020038&lon=5.8588913;;;;;;;;;;;;;;;Helmond Brandevoort;Hmbv
Zd;52;4382493;4;8137421;;Zd;Zaandam;Zd https://www.openstreetmap.org/?lat=52.4382493&lon=4.8137421;;;;;;;;;;;;;;;Nijmegen Dukenburg;Nmd
Ac;52;2785602;4;9773816;;Ac;Abcoude;Ac https://www.openstreetmap.org/?lat=52.2785602&lon=4.9773816;;;;;;;;;;;;;;;Nijmegen Lent;Nml
Bkl;52;1708294;4;9906222;;Bkl;Breukelen;Bkl https://www.openstreetmap.org/?lat=52.1708294&lon=4.9906222;;;;;;;;;;;;;;;Olst;Ost
Hmbv;51;4624634;5;6088392;;Hmbv;Helmond Brandevoort;Hmbv https://www.openstreetmap.org/?lat=51.4624634&lon=5.6088392;;;;;;;;;;;;;;;Buitenpost;Bp
Nmd;51;8239417;5;7942393;;Nmd;Nijmegen Dukenburg;Nmd https://www.openstreetmap.org/?lat=51.8239417&lon=5.7942393;;;;;;;;;;;;;;;Zuidhorn;Zh
Nml;51;862468;5;8596868;;Nml;Nijmegen Lent;Nml https://www.openstreetmap.org/?lat=51.862468&lon=5.8596868;;;;;;;;;;;;;;;Zaandijk Zaanse Schans;Zzs
Ost;52;3354376;6;1134201;;Ost;Olst;Ost https://www.openstreetmap.org/?lat=52.3354376&lon=6.1134201;;;;;;;;;;;;;;;Krommenie-Assendelft;Kma
Bp;53;2563902;6;1452078;;Bp;Buitenpost;Bp https://www.openstreetmap.org/?lat=53.2563902&lon=6.1452078;;;;;;;;;;;;;;;Wormerveer;Wm
Zh;53;2481468;6;4067456;;Zh;Zuidhorn;Zh https://www.openstreetmap.org/?lat=53.2481468&lon=6.4067456;;;;;;;;;;;;;;;Woerden;Wd
Zzs;52;4692791;4;8051566;;Zzs;Zaandijk Zaanse Schans;Zzs https://www.openstreetmap.org/?lat=52.4692791&lon=4.8051566;;;;;;;;;;;;;;;Zoetermeer Oost;Ztmo
Kma;52;4950503;4;7552412;;Kma;Krommenie-Assendelft;Kma https://www.openstreetmap.org/?lat=52.4950503&lon=4.7552412;;;;;;;;;;;;;;;Zoetermeer;Ztm
Wm;52;4892769;4;7936282;;Wm;Wormerveer;Wm https://www.openstreetmap.org/?lat=52.4892769&lon=4.7936282;;;;;;;;;;;;;;;Vorden;Vd
Wd;52;0850884;4;8924874;;Wd;Woerden;Wd https://www.openstreetmap.org/?lat=52.0850884&lon=4.8924874;;;;;;;;;;;;;;;Heerhugowaard;Hwd
Ztmo;52;0463461;4;4934339;;Ztmo;Zoetermeer Oost;Ztmo https://www.openstreetmap.org/?lat=52.0463461&lon=4.4934339;;;;;;;;;;;;;;;Veenendaal-De Klomp;Klp
Ztm;52;0475562;4;476916;;Ztm;Zoetermeer;Ztm https://www.openstreetmap.org/?lat=52.0475562&lon=4.476916;;;;;;;;;;;;;;;Amsterdam Centraal;Asd
Vd;52;1073107;6;3171531;;Vd;Vorden;Vd https://www.openstreetmap.org/?lat=52.1073107&lon=6.3171531;;;;;;;;;;;;;;;Veenendaal Centrum;Vndc
Hwd;52;6702428;4;8236817;;Hwd;Heerhugowaard;Hwd https://www.openstreetmap.org/?lat=52.6702428&lon=4.8236817;;;;;;;;;;;;;;;Nieuw Amsterdam;Na
Klp;52;0459528;5;5739271;;Klp;Veenendaal-De Klomp;Klp https://www.openstreetmap.org/?lat=52.0459528&lon=5.5739271;;;;;;;;;;;;;;;Kesteren;Ktr
Asd;52;378901;4;9005805;;Asd;Amsterdam Centraal;Asd https://www.openstreetmap.org/?lat=52.378901&lon=4.9005805;;;;;;;;;;;;;;;Arkel;Akl
Vndc;52;0200045;5;549098;;Vndc;Veenendaal Centrum;Vndc https://www.openstreetmap.org/?lat=52.0200045&lon=5.549098;;;;;;;;;;;;;;;Hardinxveld-Giessendam;Gnd
Na;52;7183661;6;8488011;;Na;Nieuw Amsterdam;Na https://www.openstreetmap.org/?lat=52.7183661&lon=6.8488011;;;;;;;;;;;;;;;Dordrecht;Ddr
Ktr;51;9315803;5;583255;;Ktr;Kesteren;Ktr https://www.openstreetmap.org/?lat=51.9315803&lon=5.583255;;;;;;;;;;;;;;;Gouda;Gd
Akl;51;8721203;4;9927723;;Akl;Arkel;Akl https://www.openstreetmap.org/?lat=51.8721203&lon=4.9927723;;;;;;;;;;;;;;;Amsterdam Muiderpoort;Asdm
Gnd;51;8303521;4;8355964;;Gnd;Hardinxveld-Giessendam;Gnd https://www.openstreetmap.org/?lat=51.8303521&lon=4.8355964;;;;;;;;;;;;;;;Weert;Wt
Ddr;51;8075316;4;6677478;;Ddr;Dordrecht;Ddr https://www.openstreetmap.org/?lat=51.8075316&lon=4.6677478;;;;;;;;;;;;;;;Zwolle;Zl
Gd;52;0174245;4;7061636;;Gd;Gouda;Gd https://www.openstreetmap.org/?lat=52.0174245&lon=4.7061636;;;;;;;;;;;;;;;Enschede;Es
Asdm;52;3608341;4;9311934;;Asdm;Amsterdam Muiderpoort;Asdm https://www.openstreetmap.org/?lat=52.3608341&lon=4.9311934;;;;;;;;;;;;;;;Hoofddorp;Hfd
Wt;51;2486962;5;7041339;;Wt;Weert;Wt https://www.openstreetmap.org/?lat=51.2486962&lon=5.7041339;;;;;;;;;;;;;;;Deventer;Dv
Zl;52;5050086;6;0912373;;Zl;Zwolle;Zl https://www.openstreetmap.org/?lat=52.5050086&lon=6.0912373;;;;;;;;;;;;;;;Apeldoorn;Apd
Es;52;2223649;6;8897811;;Es;Enschede;Es https://www.openstreetmap.org/?lat=52.2223649&lon=6.8897811;;;;;;;;;;;;;;;Almelo;Aml
Hfd;52;2928668;4;6988698;;Hfd;Hoofddorp;Hfd https://www.openstreetmap.org/?lat=52.2928668&lon=4.6988698;;;;;;;;;;;;;;;Venlo;Vl
Dv;52;2572928;6;1611049;;Dv;Deventer;Dv https://www.openstreetmap.org/?lat=52.2572928&lon=6.1611049;;;;;;;;;;;;;;;Blerick;Br
Apd;52;2092784;5;9689735;;Apd;Apeldoorn;Apd https://www.openstreetmap.org/?lat=52.2092784&lon=5.9689735;;;;;;;;;;;;;;;Horst-Sevenum;Hrt
Aml;52;3577052;6;6544143;;Aml;Almelo;Aml https://www.openstreetmap.org/?lat=52.3577052&lon=6.6544143;;;;;;;;;;;;;;;Deurne;Dn
Vl;51;3650504;6;171433;;Vl;Venlo;Vl https://www.openstreetmap.org/?lat=51.3650504&lon=6.171433;;;;;;;;;;;;;;;Almere Centrum;Alm
Br;51;3724162;6;155296;;Br;Blerick;Br https://www.openstreetmap.org/?lat=51.3724162&lon=6.155296;;;;;;;;;;;;;;;Den Helder Zuid;Hdrz
Hrt;51;4270926;6;0413246;;Hrt;Horst-Sevenum;Hrt https://www.openstreetmap.org/?lat=51.4270926&lon=6.0413246;;;;;;;;;;;;;;;Winschoten;Ws
Dn;51;4562278;5;7878984;;Dn;Deurne;Dn https://www.openstreetmap.org/?lat=51.4562278&lon=5.7878984;;;;;;;;;;;;;;;Essen;FES
Alm;52;3752735;5;2193265;;Alm;Almere Centrum;Alm https://www.openstreetmap.org/?lat=52.3752735&lon=5.2193265;;;;;;;;;;;;;;;Wildert;GWD
Hdrz;52;9326177;4;7641527;;Hdrz;Den Helder Zuid;Hdrz https://www.openstreetmap.org/?lat=52.9326177&lon=4.7641527;;;;;;;;;;;;;;;Kijkuit;GKT
Ws;53;139151;7;0356099;;Ws;Winschoten;Ws https://www.openstreetmap.org/?lat=53.139151&lon=7.0356099;;;;;;;;;;;;;;;Groningen Noord;Gnn
FES;51;4626799;4;45117;;FES;Essen;FES https://www.openstreetmap.org/?lat=51.4626799&lon=4.45117;;;;;;;;;;;;;;;Utrecht Leidsche Rijn;Utlr
GWD;51;4276753;4;4634184;;GWD;Wildert;GWD https://www.openstreetmap.org/?lat=51.4276753&lon=4.4634184;;;;;;;;;;;;;;;Boechout;GBC
GKT;51;3791307;4;4673221;;GKT;Kijkuit;GKT https://www.openstreetmap.org/?lat=51.3791307&lon=4.4673221;;;;;;;;;;;;;;;Bouwel;FOW
Gnn;53;2301283;6;5565819;;Gnn;Groningen Noord;Gnn https://www.openstreetmap.org/?lat=53.2301283&lon=6.5565819;;;;;;;;;;;;;;;Wolfstee;LWO
Utlr;52;0989682;5;0652431;;Utlr;Utrecht Leidsche Rijn;Utlr https://www.openstreetmap.org/?lat=52.0989682&lon=5.0652431;;;;;;;;;;;;;;;Groningen Europapark;Gerp
GBC;51;1632038;4;4951029;;GBC;Boechout;GBC https://www.openstreetmap.org/?lat=51.1632038&lon=4.4951029;;;;;;;;;;;;;;;Mantgum;Mg
FOW;51;1656586;4;7462187;;FOW;Bouwel;FOW https://www.openstreetmap.org/?lat=51.1656586&lon=4.7462187;;;;;;;;;;;;;;;Haarlem;Hlm
LWO;51;1685644;4;7850797;;LWO;Wolfstee;LWO https://www.openstreetmap.org/?lat=51.1685644&lon=4.7850797;;;;;;;;;;;;;;;Amsterdam Zuid;Asdz
Gerp;53;2047056;6;585821;;Gerp;Groningen Europapark;Gerp https://www.openstreetmap.org/?lat=53.2047056&lon=6.585821;;;;;;;;;;;;;;;Best;Bet
Mg;53;1297366;5;7132668;;Mg;Mantgum;Mg https://www.openstreetmap.org/?lat=53.1297366&lon=5.7132668;;;;;;;;;;;;;;;Maastricht;Mt
Hlm;52;3880778;4;6385788;;Hlm;Haarlem;Hlm https://www.openstreetmap.org/?lat=52.3880778&lon=4.6385788;;;;;;;;;;;;;;;Kerkrade Centrum;Krd
Asdz;52;3390172;4;8734324;;Asdz;Amsterdam Zuid;Asdz https://www.openstreetmap.org/?lat=52.3390172&lon=4.8734324;;;;;;;;;;;;;;;Landgraaf;Lg
Bet;51;5098165;5;3892206;;Bet;Best;Bet https://www.openstreetmap.org/?lat=51.5098165&lon=5.3892206;;;;;;;;;;;;;;;Lansingerland-Zoetermeer;Llzm
Mt;50;8501783;5;7052501;;Mt;Maastricht;Mt https://www.openstreetmap.org/?lat=50.8501783&lon=5.7052501;;;;;;;;;;;;;;;Diepenbeek;GDP
Krd;50;8613851;6;0572213;;Krd;Kerkrade Centrum;Krd https://www.openstreetmap.org/?lat=50.8613851&lon=6.0572213;;;;;;;;;;;;;;;Sint-Truiden;FST
Lg;50;896491;6;0196861;;Lg;Landgraaf;Lg https://www.openstreetmap.org/?lat=50.896491&lon=6.0196861;;;;;;;;;;;;;;;Landen;FLD
Llzm;52;0410702;4;5185034;;Llzm;Lansingerland-Zoetermeer;Llzm https://www.openstreetmap.org/?lat=52.0410702&lon=4.5185034;;;;;;;;;;;;;;;Langdorp;LGD
GDP;50;9105288;5;4203402;;GDP;Diepenbeek;GDP https://www.openstreetmap.org/?lat=50.9105288&lon=5.4203402;;;;;;;;;;;;;;;Testelt;GTT
0;50;8867147;5;2925362;;;;;;;;;;;;;;;;;;;Zichem;GZC
FST;50;8172129;5;1759902;;FST;Sint-Truiden;FST https://www.openstreetmap.org/?lat=50.8172129&lon=5.1759902;;;;;;;;;;;;;;;Aarschot;FRST
FLD;50;7479715;5;0800985;;FLD;Landen;FLD https://www.openstreetmap.org/?lat=50.7479715&lon=5.0800985;;;;;;;;;;;;;;;Bokrijk;FKY
LGD;51;0024869;4;8637488;;LGD;Langdorp;LGD https://www.openstreetmap.org/?lat=51.0024869&lon=4.8637488;;;;;;;;;;;;;;;Genk;FKG
GTT;51;0097709;4;9469085;;GTT;Testelt;GTT https://www.openstreetmap.org/?lat=51.0097709&lon=4.9469085;;;;;;;;;;;;;;;Berlaar;GBL
GZC;51;0063866;4;988349;;GZC;Zichem;GZC https://www.openstreetmap.org/?lat=51.0063866&lon=4.988349;;;;;;;;;;;;;;;Melkouwen;MWC
0;50;9930532;5;0511119;;;;;;;;;;;;;;;;;;;Mol;LML
FRST;50;9844425;4;8240803;;FRST;Aarschot;FRST https://www.openstreetmap.org/?lat=50.9844425&lon=4.8240803;;;;;;;;;;;;;;;Leopoldsburg;LBG
FKY;50;9557116;5;4082131;;FKY;Bokrijk;FKY https://www.openstreetmap.org/?lat=50.9557116&lon=5.4082131;;;;;;;;;;;;;;;Beverlo;MBV
FKG;50;967071;5;4962955;;FKG;Genk;FKG https://www.openstreetmap.org/?lat=50.967071&lon=5.4962955;;;;;;;;;;;;;;;Beringen;LBN
GBL;51;1134905;4;6388242;;GBL;Berlaar;GBL https://www.openstreetmap.org/?lat=51.1134905&lon=4.6388242;;;;;;;;;;;;;;;Geel;LG
MWC;51;0947001;4;671983;;MWC;Melkouwen;MWC https://www.openstreetmap.org/?lat=51.0947001&lon=4.671983;;;;;;;;;;;;;;;Kessel;LEK
LML;51;1905976;5;1145128;;LML;Mol;LML https://www.openstreetmap.org/?lat=51.1905976&lon=5.1145128;;;;;;;;;;;;;;;Turnhout;FTR
LBG;51;1173328;5;2580336;;LBG;Leopoldsburg;LBG https://www.openstreetmap.org/?lat=51.1173328&lon=5.2580336;;;;;;;;;;;;;;;Ezemaal;FZE
MBV;51;0886422;5;2344744;;MBV;Beverlo;MBV https://www.openstreetmap.org/?lat=51.0886422&lon=5.2344744;;;;;;;;;;;;;;;Neerwinden;FWI
LBN;51;0503819;5;2363211;;LBN;Beringen;LBN https://www.openstreetmap.org/?lat=51.0503819&lon=5.2363211;;;;;;;;;;;;;;;Vertrijk;FVK
LG;51;1690147;4;9895239;;LG;Geel;LG https://www.openstreetmap.org/?lat=51.1690147&lon=4.9895239;;;;;;;;;;;;;;;Erps-Kwerps;MRP
LEK;51;1508801;4;6179673;;LEK;Kessel;LEK https://www.openstreetmap.org/?lat=51.1508801&lon=4.6179673;;;;;;;;;;;;;;;Kampen Zuid;Kpnz
FTR;51;3227241;4;9378811;;FTR;Turnhout;FTR https://www.openstreetmap.org/?lat=51.3227241&lon=4.9378811;;;;;;;;;;;;;;;Zaventem;FZA
FZE;50;7715802;4;9950215;;FZE;Ezemaal;FZE https://www.openstreetmap.org/?lat=50.7715802&lon=4.9950215;;;;;;;;;;;;;;;Doetinchem De Huet;Dtch
FWI;50;7637479;5;0363342;;FWI;Neerwinden;FWI https://www.openstreetmap.org/?lat=50.7637479&lon=5.0363342;;;;;;;;;;;;;;;Eygelshoven;Egh
FVK;50;8360362;4;8356836;;FVK;Vertrijk;FVK https://www.openstreetmap.org/?lat=50.8360362&lon=4.8356836;;;;;;;;;;;;;;;Chevremont;Cvm
MRP;50;896625;4;5865908;;MRP;Erps-Kwerps;MRP https://www.openstreetmap.org/?lat=50.896625&lon=4.5865908;;;;;;;;;;;;;;;Muizen;FIZ
Kpnz;52;5329839;5;9132744;;Kpnz;Kampen Zuid;Kpnz https://www.openstreetmap.org/?lat=52.5329839&lon=5.9132744;;;;;;;;;;;;;;;Baasrode-Zuid;FRA
FZA;50;8850132;4;4729671;;FZA;Zaventem;FZA https://www.openstreetmap.org/?lat=50.8850132&lon=4.4729671;;;;;;;;;;;;;;;Malderen;FMD
Dtch;51;9591649;6;2600282;;Dtch;Doetinchem De Huet;Dtch https://www.openstreetmap.org/?lat=51.9591649&lon=6.2600282;;;;;;;;;;;;;;;Londerzeel;FZL
Egh;50;8901122;6;0456023;;Egh;Eygelshoven;Egh https://www.openstreetmap.org/?lat=50.8901122&lon=6.0456023;;;;;;;;;;;;;;;Kapelle-op-den-Bos;FKP
Cvm;50;8762291;6;0595563;;Cvm;Chevremont;Cvm https://www.openstreetmap.org/?lat=50.8762291&lon=6.0595563;;;;;;;;;;;;;;;Wichelen;FNW
FIZ;51;0087257;4;5134363;;FIZ;Muizen;FIZ https://www.openstreetmap.org/?lat=51.0087257&lon=4.5134363;;;;;;;;;;;;;;;Schoonaarde;FAD
0;50;9974238;4;5383593;;;;;;;;;;;;;;;;;;;Oudegem;FDM
FRA;51;0193803;4;1540216;;FRA;Baasrode-Zuid;FRA https://www.openstreetmap.org/?lat=51.0193803&lon=4.1540216;;;;;;;;;;;;;;;Zwolle Stadshagen;Zlsh
FMD;51;0144035;4;2286648;;FMD;Malderen;FMD https://www.openstreetmap.org/?lat=51.0144035&lon=4.2286648;;;;;;;;;;;;;;;Delft Campus;Dtcp
FZL;51;0092413;4;2980562;;FZL;Londerzeel;FZL https://www.openstreetmap.org/?lat=51.0092413&lon=4.2980562;;;;;;;;;;;;;;;Bergen op Zoom;Bgn
FKP;51;0108251;4;3590564;;FKP;Kapelle-op-den-Bos;FKP https://www.openstreetmap.org/?lat=51.0108251&lon=4.3590564;;;;;;;;;;;;;;;Naarden-Bussum;Ndb
FNW;51;0018607;3;970305;;FNW;Wichelen;FNW https://www.openstreetmap.org/?lat=51.0018607&lon=3.970305;;;;;;;;;;;;;;;Soestdijk;Sd
FAD;51;0031806;4;0115346;;FAD;Schoonaarde;FAD https://www.openstreetmap.org/?lat=51.0031806&lon=4.0115346;;;;;;;;;;;;;;;Martenshoek;Mth
FDM;51;0150135;4;0637076;;FDM;Oudegem;FDM https://www.openstreetmap.org/?lat=51.0150135&lon=4.0637076;;;;;;;;;;;;;;;Kropswolde;Kw
Zlsh;52;5278636;6;0512888;;Zlsh;Zwolle Stadshagen;Zlsh https://www.openstreetmap.org/?lat=52.5278636&lon=6.0512888;;;;;;;;;;;;;;;Wierden;Wdn
0;50;7673077;4;3543663;;;;;;;;;;;;;;;;;;;Vroomshoop;Vhp
Dtcp;51;9911036;4;3646868;;Dtcp;Delft Campus;Dtcp https://www.openstreetmap.org/?lat=51.9911036&lon=4.3646868;;;;;;;;;;;;;;;Rijssen;Rsn
Bgn;51;4947862;4;2961899;;Bgn;Bergen op Zoom;Bgn https://www.openstreetmap.org/?lat=51.4947862&lon=4.2961899;;;;;;;;;;;;;;;Beek-Elsloo;Bk
Ndb;52;280646;5;1571557;;Ndb;Naarden-Bussum;Ndb https://www.openstreetmap.org/?lat=52.280646&lon=5.1571557;;;;;;;;;;;;;;;Maastricht Randwyck;Mtr
Sd;52;1838566;5;2999111;;Sd;Soestdijk;Sd https://www.openstreetmap.org/?lat=52.1838566&lon=5.2999111;;;;;;;;;;;;;;;Hoensbroek;Hb
Mth;53;1608102;6;7405089;;Mth;Martenshoek;Mth https://www.openstreetmap.org/?lat=53.1608102&lon=6.7405089;;;;;;;;;;;;;;;Beernem;LBM
Kw;53;1615882;6;7229343;;Kw;Kropswolde;Kw https://www.openstreetmap.org/?lat=53.1615882&lon=6.7229343;;;;;;;;;;;;;;;Maria-Aalter;FIA
Wdn;52;36154;6;5921524;;Wdn;Wierden;Wdn https://www.openstreetmap.org/?lat=52.36154&lon=6.5921524;;;;;;;;;;;;;;;Oostkamp;FPO
Vhp;52;457312;6;5696271;;Vhp;Vroomshoop;Vhp https://www.openstreetmap.org/?lat=52.457312&lon=6.5696271;;;;;;;;;;;;;;;Geraardsbergen;FGRA
Rsn;52;3117493;6;5192167;;Rsn;Rijssen;Rsn https://www.openstreetmap.org/?lat=52.3117493&lon=6.5192167;;;;;;;;;;;;;;;Viane-Moerbeke;FKV
Bk;50;9477918;5;7872368;;Bk;Beek-Elsloo;Bk https://www.openstreetmap.org/?lat=50.9477918&lon=5.7872368;;;;;;;;;;;;;;;Galmaarden;FGM
Mtr;50;8376341;5;7176213;;Mtr;Maastricht Randwyck;Mtr https://www.openstreetmap.org/?lat=50.8376341&lon=5.7176213;;;;;;;;;;;;;;;Lierde;FRD
Hb;50;9055737;5;9302573;;Hb;Hoensbroek;Hb https://www.openstreetmap.org/?lat=50.9055737&lon=5.9302573;;;;;;;;;;;;;;;Moortsele;FZM
LBM;51;1281383;3;3294877;;LBM;Beernem;LBM https://www.openstreetmap.org/?lat=51.1281383&lon=3.3294877;;;;;;;;;;;;;;;Scheldewindeke;FSK
0;50;7513636;4;258435;;;;;;;;;;;;;;;;;;;Antwerpen-Noorderdokken;AND
FIA;51;1081407;3;3851815;;FIA;Maria-Aalter;FIA https://www.openstreetmap.org/?lat=51.1081407&lon=3.3851815;;;;;;;;;;;;;;;Antwerpen-Luchtbal;LB
FPO;51;154378;3;2573187;;FPO;Oostkamp;FPO https://www.openstreetmap.org/?lat=51.154378&lon=3.2573187;;;;;;;;;;;;;;;Munkzwalm;MNK
0;50;7337393;4;2404904;;;;;;;;;;;;;;;;;;;Sint-Denijs-Boekel;FNZ
FGRA;50;7702738;3;8722631;;FGRA;Geraardsbergen;FGRA https://www.openstreetmap.org/?lat=50.7702738&lon=3.8722631;;;;;;;;;;;;;;;Welle;WELLE
FKV;50;7519469;3;9168241;;FKV;Viane-Moerbeke;FKV https://www.openstreetmap.org/?lat=50.7519469&lon=3.9168241;;;;;;;;;;;;;;;Ronse;FRN
FGM;50;7435765;3;9665491;;FGM;Galmaarden;FGM https://www.openstreetmap.org/?lat=50.7435765&lon=3.9665491;;;;;;;;;;;;;;;Zingem;FZG
FRD;50;8159154;3;82699;;FRD;Lierde;FRD https://www.openstreetmap.org/?lat=50.8159154&lon=3.82699;;;;;;;;;;;;;;;Eine;FEI
FZM;50;9533141;3;7811778;;FZM;Moortsele;FZM https://www.openstreetmap.org/?lat=50.9533141&lon=3.7811778;;;;;;;;;;;;;;;Eke-Nazareth;FKE
FSK;50;9369041;3;7779584;;FSK;Scheldewindeke;FSK https://www.openstreetmap.org/?lat=50.9369041&lon=3.7779584;;;;;;;;;;;;;;;Gavere-Asper;FGA
